Age,MP,Min,CrdY,CrdR,PKatt,Gls,Ast,PK,Pos_encoded,Comp_encoded
18.0,4,74,0.0,0.0,0.0,0.0,0.0,0.0,2,1
22.0,9,93,0.0,0.0,0.0,0.0,0.0,0.0,1,2
31.0,22,1666,0.16,0.0,0.0,1.0,1.0,0.0,7,4
29.0,21,1699,0.21,0.05,0.05,0.0,0.0,0.0,9,2
20.0,10,179,1.0,0.0,0.0,1.0,1.0,0.0,7,4
26.0,22,1970,0.05,0.0,0.09,0.0,0.0,0.0,5,3
26.0,18,1217,0.22,0.07,0.07,1.0,0.0,0.0,3,1
20.0,1,72,0.0,0.0,0.0,1.0,1.0,0.0,7,4
23.0,16,995,0.36,0.0,0.0,0.0,0.0,0.0,0,4
22.0,15,446,0.0,0.0,0.0,0.0,0.0,0.0,5,2
31.0,15,1187,0.15,0.08,0.0,0.0,0.0,0.0,5,1
23.0,11,716,0.13,0.0,0.0,0.0,0.0,0.0,0,1
26.0,20,1495,0.06,0.0,0.0,0.0,0.0,0.0,9,0
31.0,18,746,0.48,0.0,0.0,1.0,1.0,0.0,7,1
23.0,20,1653,0.16,0.0,0.0,0.0,0.0,0.0,0,2
25.0,2,169,0.0,0.0,0.0,0.0,0.0,0.0,0,3
24.0,1,19,0.0,0.0,0.0,1.0,0.0,0.0,3,4
24.0,6,271,0.0,0.0,0.0,0.0,0.0,0.0,9,0
25.0,18,1574,0.23,0.0,0.0,0.0,0.0,0.0,0,4
21.0,12,294,0.0,0.0,0.0,1.0,0.0,0.0,3,3
27.0,18,1248,0.07,0.0,0.0,0.0,0.0,0.0,0,4
30.0,3,270,0.67,0.0,0.0,0.0,0.0,0.0,0,0
22.0,1,17,0.0,0.0,0.0,1.0,0.0,0.0,3,0
30.0,11,641,0.7,0.0,0.0,1.0,1.0,0.0,7,4
28.0,17,1426,0.13,0.0,0.0,0.0,0.0,0.0,0,0
22.0,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0,3
24.0,11,294,0.0,0.0,0.0,1.0,0.0,0.0,3,0
24.0,16,1016,0.18,0.0,0.0,0.0,0.0,0.0,1,2
22.0,4,148,0.63,0.0,0.0,0.0,0.0,0.0,9,3
22.0,2,135,0.67,0.0,0.0,0.0,0.0,0.0,2,1
29.0,5,166,1.11,0.0,0.0,0.0,0.0,0.0,8,2
